"ANYSCEN","ALLYEAR","ANYREGION","ITEM","Value","VARIABLE","UNIT"
"easwf",2040,"PRT","CRP",0.193772634,"AREA","1000 ha"
"easwf",2040,"PRT","GRS",2.53259835,"AREA","1000 ha"
"easwf",2040,"PRT","TOT",2.726370984,"AREA","1000 ha"
"easwf",2040,"ROU","CRP",61.94718055,"AREA","1000 ha"
"easwf",2040,"ROU","GRS",7.506298888,"AREA","1000 ha"
"easwf",2040,"ROU","TOT",69.45347944,"AREA","1000 ha"
"easwf",2040,"SVK","CRP",27.77293693,"AREA","1000 ha"
"easwf",2040,"SVK","GRS",1.321325111,"AREA","1000 ha"
"easwf",2040,"SVK","TOT",29.09426204,"AREA","1000 ha"
"easwf",2040,"SVN","CRP",1.414762668,"AREA","1000 ha"
"easwf",2040,"SVN","GRS",0.111534673,"AREA","1000 ha"
"easwf",2040,"SVN","TOT",1.52629734,"AREA","1000 ha"
"easwf",2040,"ESP","CRP",141.8181926,"AREA","1000 ha"
"easwf",2040,"ESP","GRS",8.978085024,"AREA","1000 ha"
"easwf",2040,"ESP","TOT",150.7962777,"AREA","1000 ha"
"easwf",2040,"SWE","CRP",6.796298725,"AREA","1000 ha"
"easwf",2040,"SWE","GRS",2.300952974,"AREA","1000 ha"
"easwf",2040,"SWE","TOT",9.097251699,"AREA","1000 ha"
"easwf",2050,"AUT","CRP",8.939948698,"AREA","1000 ha"
"easwf",2050,"AUT","GRS",1.660596804,"AREA","1000 ha"
"easwf",2050,"AUT","TOT",10.6005455,"AREA","1000 ha"
"easwf",2050,"BGR","CRP",206.0095625,"AREA","1000 ha"
"easwf",2050,"BGR","GRS",4.504629775,"AREA","1000 ha"
"easwf",2050,"BGR","TOT",210.5141923,"AREA","1000 ha"
"easwf",2050,"HRV","CRP",64.80404274,"AREA","1000 ha"
"easwf",2050,"HRV","GRS",2.174964514,"AREA","1000 ha"
"easwf",2050,"HRV","TOT",66.97900725,"AREA","1000 ha"
"easwf",2050,"CYP","CRP",0.59704691,"AREA","1000 ha"
"easwf",2050,"CYP","GRS",0.086727961,"AREA","1000 ha"
"easwf",2050,"CYP","TOT",0.683774871,"AREA","1000 ha"
"easwf",2050,"CZE","CRP",89.70781741,"AREA","1000 ha"
"easwf",2050,"CZE","GRS",3.826994783,"AREA","1000 ha"
"easwf",2050,"CZE","TOT",93.5348122,"AREA","1000 ha"
"easwf",2050,"DNK","CRP",54.32565777,"AREA","1000 ha"
"easwf",2050,"DNK","GRS",0.859608251,"AREA","1000 ha"
"easwf",2050,"DNK","TOT",55.18526602,"AREA","1000 ha"
"easwf",2050,"EST","CRP",2.029112426,"AREA","1000 ha"
"easwf",2050,"EST","GRS",1.564137418,"AREA","1000 ha"
"easwf",2050,"EST","TOT",3.593249843,"AREA","1000 ha"
"easwf",2050,"FIN","CRP",0.57573679,"AREA","1000 ha"
"easwf",2050,"FIN","GRS",0.752295549,"AREA","1000 ha"
"easwf",2050,"FIN","TOT",1.328032339,"AREA","1000 ha"
"easwf",2050,"FRA","CRP",189.3448489,"AREA","1000 ha"
"easwf",2050,"FRA","GRS",52.3526343,"AREA","1000 ha"
"easwf",2050,"FRA","TOT",241.6974832,"AREA","1000 ha"
"easwf",2050,"DEU","CRP",114.5096072,"AREA","1000 ha"
"easwf",2050,"DEU","GRS",13.42663219,"AREA","1000 ha"
"easwf",2050,"DEU","TOT",127.9362393,"AREA","1000 ha"
